tabelcode;datapunt
S.01.01.02.01;R0010C0010
S.01.01.02.01;R0030C0010
S.01.01.02.01;R0110C0010
S.01.01.02.01;R0140C0010
S.01.01.02.01;R0150C0010
S.01.01.02.01;R0170C0010
S.01.01.02.01;R0180C0010
S.01.01.02.01;R0220C0010
S.01.01.02.01;R0290C0010
S.01.01.02.01;R0410C0010
S.01.01.02.01;R0580C0010
S.01.01.02.01;R0590C0010
S.02.01.02.01;R0030C0010
S.02.01.02.01;R0040C0010
S.02.01.02.01;R0050C0010
S.02.01.02.01;R0060C0010
S.02.01.02.01;R0070C0010
S.02.01.02.01;R0080C0010
S.02.01.02.01;R0090C0010
S.02.01.02.01;R0100C0010
S.02.01.02.01;R0110C0010
S.02.01.02.01;R0120C0010
S.02.01.02.01;R0130C0010
S.02.01.02.01;R0140C0010
S.02.01.02.01;R0150C0010
S.02.01.02.01;R0160C0010
S.02.01.02.01;R0170C0010
S.02.01.02.01;R0180C0010
S.02.01.02.01;R0190C0010
S.02.01.02.01;R0200C0010
S.02.01.02.01;R0210C0010
S.02.01.02.01;R0220C0010
S.02.01.02.01;R0230C0010
S.02.01.02.01;R0240C0010
S.02.01.02.01;R0250C0010
S.02.01.02.01;R0260C0010
S.02.01.02.01;R0270C0010
S.02.01.02.01;R0280C0010
S.02.01.02.01;R0290C0010
S.02.01.02.01;R0300C0010
S.02.01.02.01;R0310C0010
S.02.01.02.01;R0320C0010
S.02.01.02.01;R0330C0010
S.02.01.02.01;R0340C0010
S.02.01.02.01;R0350C0010
S.02.01.02.01;R0360C0010
S.02.01.02.01;R0370C0010
S.02.01.02.01;R0380C0010
S.02.01.02.01;R0390C0010
S.02.01.02.01;R0400C0010
S.02.01.02.01;R0410C0010
S.02.01.02.01;R0420C0010
S.02.01.02.01;R0500C0010
S.02.01.02.01;R0510C0010
S.02.01.02.01;R0520C0010
S.02.01.02.01;R0530C0010
S.02.01.02.01;R0540C0010
S.02.01.02.01;R0550C0010
S.02.01.02.01;R0560C0010
S.02.01.02.01;R0570C0010
S.02.01.02.01;R0580C0010
S.02.01.02.01;R0590C0010
S.02.01.02.01;R0600C0010
S.02.01.02.01;R0610C0010
S.02.01.02.01;R0620C0010
S.02.01.02.01;R0630C0010
S.02.01.02.01;R0640C0010
S.02.01.02.01;R0650C0010
S.02.01.02.01;R0660C0010
S.02.01.02.01;R0670C0010
S.02.01.02.01;R0680C0010
S.02.01.02.01;R0690C0010
S.02.01.02.01;R0700C0010
S.02.01.02.01;R0710C0010
S.02.01.02.01;R0720C0010
S.02.01.02.01;R0740C0010
S.02.01.02.01;R0750C0010
S.02.01.02.01;R0760C0010
S.02.01.02.01;R0770C0010
S.02.01.02.01;R0780C0010
S.02.01.02.01;R0790C0010
S.02.01.02.01;R0800C0010
S.02.01.02.01;R0810C0010
S.02.01.02.01;R0820C0010
S.02.01.02.01;R0830C0010
S.02.01.02.01;R0840C0010
S.02.01.02.01;R0850C0010
S.02.01.02.01;R0860C0010
S.02.01.02.01;R0870C0010
S.02.01.02.01;R0880C0010
S.02.01.02.01;R0900C0010
S.02.01.02.01;R1000C0010
S.05.01.02.01;R0110C0010
S.05.01.02.01;R0120C0010
S.05.01.02.01;R0140C0010
S.05.01.02.01;R0200C0010
S.05.01.02.01;R0210C0010
S.05.01.02.01;R0220C0010
S.05.01.02.01;R0240C0010
S.05.01.02.01;R0300C0010
S.05.01.02.01;R0310C0010
S.05.01.02.01;R0320C0010
S.05.01.02.01;R0340C0010
S.05.01.02.01;R0400C0010
S.05.01.02.01;R0410C0010
S.05.01.02.01;R0420C0010
S.05.01.02.01;R0440C0010
S.05.01.02.01;R0500C0010
S.05.01.02.01;R0550C0010
S.05.01.02.01;R0110C0020
S.05.01.02.01;R0120C0020
S.05.01.02.01;R0140C0020
S.05.01.02.01;R0200C0020
S.05.01.02.01;R0210C0020
S.05.01.02.01;R0220C0020
S.05.01.02.01;R0240C0020
S.05.01.02.01;R0300C0020
S.05.01.02.01;R0310C0020
S.05.01.02.01;R0320C0020
S.05.01.02.01;R0340C0020
S.05.01.02.01;R0400C0020
S.05.01.02.01;R0410C0020
S.05.01.02.01;R0420C0020
S.05.01.02.01;R0440C0020
S.05.01.02.01;R0500C0020
S.05.01.02.01;R0550C0020
S.05.01.02.01;R0110C0030
S.05.01.02.01;R0120C0030
S.05.01.02.01;R0140C0030
S.05.01.02.01;R0200C0030
S.05.01.02.01;R0210C0030
S.05.01.02.01;R0220C0030
S.05.01.02.01;R0240C0030
S.05.01.02.01;R0300C0030
S.05.01.02.01;R0310C0030
S.05.01.02.01;R0320C0030
S.05.01.02.01;R0340C0030
S.05.01.02.01;R0400C0030
S.05.01.02.01;R0410C0030
S.05.01.02.01;R0420C0030
S.05.01.02.01;R0440C0030
S.05.01.02.01;R0500C0030
S.05.01.02.01;R0550C0030
S.05.01.02.01;R0110C0040
S.05.01.02.01;R0120C0040
S.05.01.02.01;R0140C0040
S.05.01.02.01;R0200C0040
S.05.01.02.01;R0210C0040
S.05.01.02.01;R0220C0040
S.05.01.02.01;R0240C0040
S.05.01.02.01;R0300C0040
S.05.01.02.01;R0310C0040
S.05.01.02.01;R0320C0040
S.05.01.02.01;R0340C0040
S.05.01.02.01;R0400C0040
S.05.01.02.01;R0410C0040
S.05.01.02.01;R0420C0040
S.05.01.02.01;R0440C0040
S.05.01.02.01;R0500C0040
S.05.01.02.01;R0550C0040
S.05.01.02.01;R0110C0050
S.05.01.02.01;R0120C0050
S.05.01.02.01;R0140C0050
S.05.01.02.01;R0200C0050
S.05.01.02.01;R0210C0050
S.05.01.02.01;R0220C0050
S.05.01.02.01;R0240C0050
S.05.01.02.01;R0300C0050
S.05.01.02.01;R0310C0050
S.05.01.02.01;R0320C0050
S.05.01.02.01;R0340C0050
S.05.01.02.01;R0400C0050
S.05.01.02.01;R0410C0050
S.05.01.02.01;R0420C0050
S.05.01.02.01;R0440C0050
S.05.01.02.01;R0500C0050
S.05.01.02.01;R0550C0050
S.05.01.02.01;R0110C0060
