tabelcode;datapunt;rij;kolom
T0;R010C010;R010;C010
T0;R020C010;R020;C010
T0;R030C010;R030;C010
T0;R040C010;R040;C010
T1A;R010C150;R010;C150
T1A;R010C160;R010;C160
T1A;R010C170;R010;C170
T1A;R010C320;R010;C320
T1A;R010C330;R010;C330
T1A;R020C010;R020;C010
T1A;R020C020;R020;C020
T1A;R020C030;R020;C030
T1A;R020C040;R020;C040
T1A;R020C050;R020;C050
T1A;R020C060;R020;C060
T1A;R020C070;R020;C070
T1A;R020C080;R020;C080
T1A;R020C090;R020;C090
T1A;R020C100;R020;C100
T1A;R020C110;R020;C110
T1A;R020C120;R020;C120
T1A;R020C130;R020;C130
T1A;R020C140;R020;C140
T1A;R020C150;R020;C150
T1A;R020C160;R020;C160
T1A;R020C170;R020;C170
T1A;R020C180;R020;C180
T1A;R020C190;R020;C190
T1A;R020C200;R020;C200
T1A;R020C210;R020;C210
T1A;R020C220;R020;C220
T1A;R020C230;R020;C230
T1A;R020C240;R020;C240
T1A;R020C250;R020;C250
T1A;R020C260;R020;C260
T1A;R020C270;R020;C270
T1A;R020C280;R020;C280
T1A;R020C290;R020;C290
T1A;R020C300;R020;C300
T1A;R020C310;R020;C310
T1A;R020C320;R020;C320
T1A;R020C330;R020;C330
T1A;R030C010;R030;C010
T1A;R030C020;R030;C020
T1A;R030C030;R030;C030
T1A;R030C040;R030;C040
T1A;R030C050;R030;C050
T1A;R030C060;R030;C060
T1A;R030C070;R030;C070
T1A;R030C080;R030;C080
T1A;R030C090;R030;C090
T1A;R030C100;R030;C100
T1A;R030C110;R030;C110
T1A;R030C120;R030;C120
T1A;R030C130;R030;C130
T1A;R030C140;R030;C140
T1A;R030C160;R030;C160
T1A;R030C170;R030;C170
T1A;R030C180;R030;C180
T1A;R030C190;R030;C190
T1A;R030C200;R030;C200
T1A;R030C210;R030;C210
T1A;R030C220;R030;C220
T1A;R030C230;R030;C230
T1A;R030C240;R030;C240
T1A;R030C250;R030;C250
T1A;R030C260;R030;C260
T1A;R030C270;R030;C270
T1A;R030C280;R030;C280
T1A;R030C290;R030;C290
T1A;R030C300;R030;C300
T1A;R030C310;R030;C310
T1A;R030C330;R030;C330
T1A;R040C010;R040;C010
T1A;R040C020;R040;C020
T1A;R040C030;R040;C030
T1A;R040C040;R040;C040
T1A;R040C050;R040;C050
T1A;R040C060;R040;C060
T1A;R040C070;R040;C070
T1A;R040C080;R040;C080
T1A;R040C090;R040;C090
T1A;R040C100;R040;C100
T1A;R040C110;R040;C110
T1A;R040C120;R040;C120
T1A;R040C130;R040;C130
T1A;R040C160;R040;C160
T1A;R040C170;R040;C170
T1A;R040C180;R040;C180
T1A;R040C190;R040;C190
T1A;R040C200;R040;C200
T1A;R040C210;R040;C210
T1A;R040C220;R040;C220
T1A;R040C230;R040;C230
T1A;R040C240;R040;C240
T1A;R040C250;R040;C250
T1A;R040C260;R040;C260
T1A;R040C270;R040;C270
T1A;R040C280;R040;C280
