,datapoint,template,row,column,dtype,label
0,"S.01.01.01.01,r0010,c0010",S.01.01.01.01,r0010,c0010,object,nan
1,"S.01.01.01.01,r0020,c0010",S.01.01.01.01,r0020,c0010,object,nan
2,"S.01.01.01.01,r0030,c0010",S.01.01.01.01,r0030,c0010,object,nan
3,"S.01.01.01.01,r0040,c0010",S.01.01.01.01,r0040,c0010,object,nan
4,"S.01.01.01.01,r0060,c0010",S.01.01.01.01,r0060,c0010,object,nan
5,"S.01.01.01.01,r0070,c0010",S.01.01.01.01,r0070,c0010,object,nan
6,"S.01.01.01.01,r0080,c0010",S.01.01.01.01,r0080,c0010,object,nan
7,"S.01.01.01.01,r0090,c0010",S.01.01.01.01,r0090,c0010,object,nan
8,"S.01.01.01.01,r0100,c0010",S.01.01.01.01,r0100,c0010,object,nan
9,"S.01.01.01.01,r0110,c0010",S.01.01.01.01,r0110,c0010,object,nan
10,"S.01.01.01.01,r0120,c0010",S.01.01.01.01,r0120,c0010,object,nan
11,"S.01.01.01.01,r0130,c0010",S.01.01.01.01,r0130,c0010,object,nan
12,"S.01.01.01.01,r0140,c0010",S.01.01.01.01,r0140,c0010,object,nan
13,"S.01.01.01.01,r0150,c0010",S.01.01.01.01,r0150,c0010,object,nan
14,"S.01.01.01.01,r0160,c0010",S.01.01.01.01,r0160,c0010,object,nan
15,"S.01.01.01.01,r0170,c0010",S.01.01.01.01,r0170,c0010,object,nan
16,"S.01.01.01.01,r0180,c0010",S.01.01.01.01,r0180,c0010,object,nan
17,"S.01.01.01.01,r0190,c0010",S.01.01.01.01,r0190,c0010,object,nan
18,"S.01.01.01.01,r0200,c0010",S.01.01.01.01,r0200,c0010,object,nan
19,"S.01.01.01.01,r0210,c0010",S.01.01.01.01,r0210,c0010,object,nan
20,"S.01.01.01.01,r0220,c0010",S.01.01.01.01,r0220,c0010,object,nan
21,"S.01.01.01.01,r0230,c0010",S.01.01.01.01,r0230,c0010,object,nan
22,"S.01.01.01.01,r0240,c0010",S.01.01.01.01,r0240,c0010,object,nan
23,"S.01.01.01.01,r0250,c0010",S.01.01.01.01,r0250,c0010,object,nan
24,"S.01.01.01.01,r0260,c0010",S.01.01.01.01,r0260,c0010,object,nan
25,"S.01.01.01.01,r0270,c0010",S.01.01.01.01,r0270,c0010,object,nan
26,"S.01.01.01.01,r0280,c0010",S.01.01.01.01,r0280,c0010,object,nan
27,"S.01.01.01.01,r0290,c0010",S.01.01.01.01,r0290,c0010,object,nan
28,"S.01.01.01.01,r0300,c0010",S.01.01.01.01,r0300,c0010,object,nan
29,"S.01.01.01.01,r0310,c0010",S.01.01.01.01,r0310,c0010,object,nan
30,"S.01.01.01.01,r0320,c0010",S.01.01.01.01,r0320,c0010,object,nan
31,"S.01.01.01.01,r0330,c0010",S.01.01.01.01,r0330,c0010,object,nan
32,"S.01.01.01.01,r0340,c0010",S.01.01.01.01,r0340,c0010,object,nan
33,"S.01.01.01.01,r0350,c0010",S.01.01.01.01,r0350,c0010,object,nan
34,"S.01.01.01.01,r0360,c0010",S.01.01.01.01,r0360,c0010,object,nan
35,"S.01.01.01.01,r0370,c0010",S.01.01.01.01,r0370,c0010,object,nan
36,"S.01.01.01.01,r0380,c0010",S.01.01.01.01,r0380,c0010,object,nan
37,"S.01.01.01.01,r0390,c0010",S.01.01.01.01,r0390,c0010,object,nan
38,"S.01.01.01.01,r0400,c0010",S.01.01.01.01,r0400,c0010,object,nan
39,"S.01.01.01.01,r0410,c0010",S.01.01.01.01,r0410,c0010,object,nan
40,"S.01.01.01.01,r0420,c0010",S.01.01.01.01,r0420,c0010,object,nan
41,"S.01.01.01.01,r0430,c0010",S.01.01.01.01,r0430,c0010,object,nan
42,"S.01.01.01.01,r0440,c0010",S.01.01.01.01,r0440,c0010,object,nan
43,"S.01.01.01.01,r0450,c0010",S.01.01.01.01,r0450,c0010,object,nan
44,"S.01.01.01.01,r0460,c0010",S.01.01.01.01,r0460,c0010,object,nan
45,"S.01.01.01.01,r0470,c0010",S.01.01.01.01,r0470,c0010,object,nan
46,"S.01.01.01.01,r0480,c0010",S.01.01.01.01,r0480,c0010,object,nan
47,"S.01.01.01.01,r0500,c0010",S.01.01.01.01,r0500,c0010,object,nan
48,"S.01.01.01.01,r0510,c0010",S.01.01.01.01,r0510,c0010,object,nan
49,"S.01.01.01.01,r0520,c0010",S.01.01.01.01,r0520,c0010,object,nan
50,"S.01.01.01.01,r0530,c0010",S.01.01.01.01,r0530,c0010,object,nan
51,"S.01.01.01.01,r0540,c0010",S.01.01.01.01,r0540,c0010,object,nan
52,"S.01.01.01.01,r0550,c0010",S.01.01.01.01,r0550,c0010,object,nan
53,"S.01.01.01.01,r0560,c0010",S.01.01.01.01,r0560,c0010,object,nan
54,"S.01.01.01.01,r0570,c0010",S.01.01.01.01,r0570,c0010,object,nan
55,"S.01.01.01.01,r0580,c0010",S.01.01.01.01,r0580,c0010,object,nan
56,"S.01.01.01.01,r0590,c0010",S.01.01.01.01,r0590,c0010,object,nan
57,"S.01.01.01.01,r0600,c0010",S.01.01.01.01,r0600,c0010,object,nan
58,"S.01.01.01.01,r0610,c0010",S.01.01.01.01,r0610,c0010,object,nan
59,"S.01.01.01.01,r0620,c0010",S.01.01.01.01,r0620,c0010,object,nan
60,"S.01.01.01.01,r0630,c0010",S.01.01.01.01,r0630,c0010,object,nan
61,"S.01.01.01.01,r0640,c0010",S.01.01.01.01,r0640,c0010,object,nan
62,"S.01.01.01.01,r0650,c0010",S.01.01.01.01,r0650,c0010,object,nan
63,"S.01.01.01.01,r0660,c0010",S.01.01.01.01,r0660,c0010,object,nan
64,"S.01.01.01.01,r0670,c0010",S.01.01.01.01,r0670,c0010,object,nan
65,"S.01.01.01.01,r0680,c0010",S.01.01.01.01,r0680,c0010,object,nan
66,"S.01.01.01.01,r0690,c0010",S.01.01.01.01,r0690,c0010,object,nan
67,"S.01.01.01.01,r0740,c0010",S.01.01.01.01,r0740,c0010,object,nan
68,"S.01.01.01.01,r0750,c0010",S.01.01.01.01,r0750,c0010,object,nan
69,"S.01.01.01.01,r0760,c0010",S.01.01.01.01,r0760,c0010,object,nan
70,"S.01.01.01.01,r0770,c0010",S.01.01.01.01,r0770,c0010,object,nan
71,"S.01.02.01.01,bestandsnaam",S.01.02.01.01,besta,dsnaam,object,bestandsnaam
72,"S.01.02.01.01,herleveringnummer",S.01.02.01.01,herle,eringnummer,int64,herleveringnummer
73,"S.01.02.01.01,r0010,c0010",S.01.02.01.01,r0010,c0010,object,nan
74,"S.01.02.01.01,r0020,c0010",S.01.02.01.01,r0020,c0010,object,nan
75,"S.01.02.01.01,r0040,c0010",S.01.02.01.01,r0040,c0010,object,nan
76,"S.01.02.01.01,r0050,c0010",S.01.02.01.01,r0050,c0010,object,nan
77,"S.01.02.01.01,r0070,c0010",S.01.02.01.01,r0070,c0010,object,nan
78,"S.01.02.01.01,r0080,c0010",S.01.02.01.01,r0080,c0010,object,nan
79,"S.01.02.01.01,r0081,c0010",S.01.02.01.01,r0081,c0010,float64,nan
80,"S.01.02.01.01,r0090,c0010",S.01.02.01.01,r0090,c0010,object,nan
81,"S.01.02.01.01,r0100,c0010",S.01.02.01.01,r0100,c0010,object,nan
82,"S.01.02.01.01,r0110,c0010",S.01.02.01.01,r0110,c0010,object,nan
83,"S.01.02.01.01,r0120,c0010",S.01.02.01.01,r0120,c0010,object,nan
84,"S.01.02.01.01,r0130,c0010",S.01.02.01.01,r0130,c0010,object,nan
85,"S.01.02.01.01,r0140,c0010",S.01.02.01.01,r0140,c0010,object,nan
86,"S.01.02.01.01,r0150,c0010",S.01.02.01.01,r0150,c0010,object,nan
87,"S.01.02.01.01,r0170,c0010",S.01.02.01.01,r0170,c0010,object,nan
88,"S.01.02.01.01,r0180,c0010",S.01.02.01.01,r0180,c0010,object,nan
89,"S.01.02.01.01,r0190,c0010",S.01.02.01.01,r0190,c0010,object,nan
90,"S.01.02.01.01,r0200,c0010",S.01.02.01.01,r0200,c0010,object,nan
91,"S.01.02.01.01,r0210,c0010",S.01.02.01.01,r0210,c0010,object,nan
92,"S.01.02.01.01,r0250,c0010",S.01.02.01.01,r0250,c0010,float64,nan
93,"S.01.02.01.01,r0990,c0010",S.01.02.01.01,r0990,c0010,float64,r0990c0010
94,"S.01.02.01.01,r0991,c0010",S.01.02.01.01,r0991,c0010,float64,r0991c0010
95,"S.01.02.01.01,r0992,c0010",S.01.02.01.01,r0992,c0010,float64,r0992c0010
96,"S.01.03.01.01,c0050",S.01.03.01.01,,c0050,object,"Fund/Matching portfolio Number , Name of ring-fenced fund/Matching adjustment portfolio"
97,"S.01.03.01.01,c0060",S.01.03.01.01,,c0060,object,"Fund/Matching portfolio Number , RFF/MAP/Remaining part of a fund"
98,"S.01.03.01.01,c0070",S.01.03.01.01,,c0070,object,"Fund/Matching portfolio Number , RFF/MAP with sub RFF/MAP"
99,"S.01.03.01.01,c0080",S.01.03.01.01,,c0080,object,"Fund/Matching portfolio Number , Material"
100,"S.01.03.01.01,c0090",S.01.03.01.01,,c0090,object,"Fund/Matching portfolio Number , Article 304"
